ensembl_gene_id,logFC,logCPM,F,PValue,FDR,gene_symbol,cellranger_version,pseudobulk
ENSG00000122877,0.825521315,8.559996041,5439.315884,4.78E-278,3.77E-276,EGR2,v3,FALSE
ENSG00000085117,0.824700375,8.816414784,1468.595622,8.11516324738e-312,7.27896485930726e-310,CD82,v3,FALSE
ENSG00000107281,0.823940141,8.709370594,2240.240257,3.60E-293,3.02E-291,NPDC1,v3,FALSE
ENSG00000177426,0.823495937,8.69298562,1266.623403,3.69E-209,2.01E-207,TGIF1,v3,FALSE
ENSG00000212907,0.821987101,8.999183457,1144.368486,4.89E-245,3.28E-243,ND4L,v3,FALSE
ENSG00000187689,0.821671343,8.95074946,1196.636167,3.94E-252,2.76E-250,AMTN,v3,FALSE
ENSG00000167614,0.819721821,9.148197533,1222.64541,3.06E-261,2.23E-259,TTYH1,v3,FALSE
ENSG00000108691,0.818114996,8.656594176,1016.916787,1.55E-210,8.52E-209,CCL2,v3,FALSE
ENSG00000132698,0.817905166,8.807482511,1600.373716,0,0,RAB25,v3,FALSE
ENSG00000139289,0.817627788,8.627540239,1373.808649,3.80E-180,1.74E-178,PHLDA1,v3,FALSE
ENSG00000164105,0.817471709,8.681186338,1280.115705,8.23E-209,4.46E-207,SAP30,v3,FALSE
ENSG00000185950,0.814309734,8.638849586,1376.495224,7.27E-194,3.66E-192,IRS2,v3,FALSE
ENSG00000166483,0.812550353,8.647778805,1330.552317,1.25E-184,5.84E-183,WEE1,v3,FALSE
ENSG00000134757,0.812070335,8.818058725,1136.812872,2.05E-243,1.36E-241,DSG3,v3,FALSE
ENSG00000117616,0.811962567,8.751459796,1079.32834,1.56E-231,9.69E-230,RSRP1,v3,FALSE
ENSG00000163659,0.808346895,8.603443493,1777.773096,2.62E-186,1.25E-184,TIPARP,v3,FALSE
ENSG00000158246,0.806982665,8.60176166,1820.555749,2.05E-185,9.69E-184,TENT5B,v3,FALSE
ENSG00000018189,0.806721996,8.692695526,1826.056868,2.23E-251,1.54E-249,RUFY3,v3,FALSE
ENSG00000116044,0.805920021,8.779207026,1320.769732,3.31E-280,2.64E-278,NFE2L2,v3,FALSE
ENSG00000165997,0.805757449,8.58623621,2126.42198,5.61E-187,2.70E-185,ARL5B,v3,FALSE
ENSG00000188229,0.803464717,9.122189531,1143.025861,9.28E-245,6.21E-243,TUBB4B,v3,FALSE
ENSG00000092820,0.803025209,9.062047502,1242.435537,2.49E-265,1.87E-263,EZR,v3,FALSE
ENSG00000198832,0.800484377,8.819766754,1957.970894,0,0,SELENOM,v3,FALSE
ENSG00000143162,0.800348141,8.844081683,1738.769762,0,0,CREG1,v3,FALSE
ENSG00000164713,0.799707423,9.175153785,1555.690381,0,0,BRI3,v3,FALSE
ENSG00000186832,0.798351627,10.43519158,1222.336945,3.54E-261,2.57E-259,KRT16,v3,FALSE
ENSG00000185262,0.797227339,8.714681519,1147.224425,4.89E-219,2.81E-217,UBALD2,v3,FALSE
ENSG00000073350,0.796321496,8.693802254,1358.484774,7.93E-233,4.99E-231,LLGL2,v3,FALSE
ENSG00000171858,0.794164982,11.16817121,3219.851699,0,0,RPS21,v3,FALSE
ENSG00000168066,0.790885574,8.950422649,1170.670853,1.73E-250,1.19E-248,SF1,v3,FALSE
ENSG00000070495,0.789004893,8.651855842,1268.830373,5.72E-179,2.59E-177,JMJD6,v3,FALSE
ENSG00000198840,0.788839079,10.73342519,1191.045306,1.05E-254,7.47E-253,ND3,v3,FALSE
ENSG00000186591,0.788558095,8.737078152,1112.309676,5.64E-222,3.30E-220,UBE2H,v3,FALSE
